,measured,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,t_out,humidity,sim_A,sim_B,sim_C,sim_D,sim_E,predicted_physics,residual_true
2017-01-01 01:00:00,2443.65,1.0,6.0,1.0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0,20.5,72.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2600.3461650618633,-156.6961650618632
2017-01-01 02:00:00,2444.83,2.0,6.0,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,20.7,70.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2568.5598800188645,-123.7298800188646
2017-01-01 03:00:00,2387.1,3.0,6.0,1.0,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.0,1.0,20.7,70.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2545.6879989999106,-158.58799899991072
2017-01-01 05:00:00,2390.46,5.0,6.0,1.0,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.0,1.0,20.2,72.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2536.787862157492,-146.32786215749184
2017-01-01 06:00:00,2351.13,6.0,6.0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0,1.0,20.0,74.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2551.9054828525736,-200.77548285257353
2017-01-01 07:00:00,2383.95,7.0,6.0,1.0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.0,1.0,20.5,72.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2583.171668284691,-199.22166828469108
2017-01-01 08:00:00,2375.11,8.0,6.0,1.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.0,1.0,20.8,71.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2623.6879084450497,-248.57790844504962
2017-01-01 09:00:00,2378.01,9.0,6.0,1.0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.0,1.0,21.8,70.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2674.356798746712,-296.34679874671156
2017-01-01 10:00:00,2516.45,10.0,6.0,1.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,24.2,65.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2740.6882980584633,-224.23829805846344
2017-01-01 12:00:00,2572.52,12.0,6.0,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,26.0,57.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2867.059559665908,-294.5395596659082
2017-01-01 15:00:00,2615.49,15.0,6.0,1.0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.0,1.0,26.1,57.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2982.9540298582715,-367.4640298582717
2017-01-01 16:00:00,2604.73,16.0,6.0,1.0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.0,1.0,25.1,60.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2983.5531035958134,-378.82310359581334
