yr,mo,da,hr,mi,etr,etrn,ghi,dni,dhi,tcld,db,dp,rh,ps,wdir,wspd,hvis,ch,lpd,lpq
2024,1,2,16,60,0.0,0.0,0.0,0.0,0.0,5,19.2,14.2,81,1017.6,122,7.4,-9900,-9900,0.0,0.0
2024,1,2,17,60,0.0,0.0,0.0,0.0,0.0,5,18.5,13.5,81,1017.7,167,7.4,-9900,-9900,0.0,0.0
2024,1,2,18,60,0.0,0.0,0.0,0.0,0.0,5,18.3,13.3,82,1017.5,208,5.5,-9900,-9900,0.0,0.0
2024,1,2,19,60,0.0,0.0,0.0,0.0,0.0,5,18.0,13.0,84,1017.4,234,5.5,-9900,-9900,0.0,0.0
2024,1,2,20,60,0.0,0.0,0.0,0.0,0.0,5,17.7,12.7,85,1017.6,233,5.5,-9900,-9900,0.0,0.0
2024,1,2,21,60,0.0,0.0,0.0,0.0,0.0,5,17.4,12.4,87,1017.7,233,5.5,-9900,-9900,0.0,0.0
2024,1,2,22,60,0.0,0.0,0.0,0.0,0.0,5,17.1,12.1,88,1017.8,233,5.5,-9900,-9900,0.0,0.0
2024,1,2,23,60,0.0,0.0,0.0,0.0,0.0,5,16.4,11.4,90,1018.8,223,5.5,-9900,-9900,0.0,0.0
2024,1,2,24,60,0.0,0.0,0.0,0.0,0.0,5,16.4,11.4,89,1019.6,226,5.5,-9900,-9900,0.0,0.0
2024,1,3,1,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,87,1020.3,228,5.5,-9900,-9900,0.0,0.0
2024,1,3,2,60,0.0,0.0,0.0,0.0,0.0,5,16.9,11.9,85,1020.6,234,7.4,-9900,-9900,0.0,0.0
2024,1,3,3,60,0.0,0.0,0.0,0.0,0.0,5,17.3,12.3,82,1021.0,253,7.4,-9900,-9900,0.0,0.0
2024,1,3,4,60,0.0,0.0,0.0,0.0,0.0,5,17.7,12.7,80,1021.3,333,9.3,-9900,-9900,0.0,0.0
2024,1,3,5,60,0.0,0.0,0.0,0.0,0.0,5,17.3,12.3,82,1021.4,125,5.5,-9900,-9900,0.0,0.0
2024,1,3,6,60,0.0,0.0,0.0,0.0,0.0,5,17.1,12.1,80,1021.0,336,7.4,-9900,-9900,0.0,0.0
2024,1,3,7,60,0.0,0.0,0.0,0.0,0.0,5,16.8,11.8,78,1020.6,330,7.4,-9900,-9900,0.0,0.0
2024,1,3,8,60,0.0,0.0,0.0,0.0,0.0,5,16.4,11.4,77,1021.2,50,9.3,-9900,-9900,0.0,0.0
2024,1,3,9,60,0.0,0.0,0.0,0.0,0.0,5,16.1,11.1,76,1021.7,73,11.1,-9900,-9900,0.0,0.0
2024,1,3,10,60,0.0,0.0,0.0,0.0,0.0,5,15.7,10.7,75,1022.3,80,13.0,-9900,-9900,0.0,0.0
2024,1,3,11,60,0.0,0.0,0.0,0.0,0.0,5,14.9,9.9,80,1023.5,57,11.1,-9900,-9900,0.0,0.0
2024,1,3,12,60,0.0,0.0,0.0,0.0,0.0,5,14.8,9.8,79,1024.0,70,11.1,-9900,-9900,0.0,0.0
2024,1,3,13,60,0.0,0.0,0.0,0.0,0.0,5,14.8,9.8,77,1024.4,82,9.3,-9900,-9900,0.0,0.0
2024,1,3,14,60,0.0,0.0,0.0,0.0,0.0,5,14.7,9.7,76,1024.5,86,11.1,-9900,-9900,0.0,0.0
2024,1,3,15,60,0.0,0.0,0.0,0.0,0.0,5,14.5,9.5,76,1024.5,89,13.0,-9900,-9900,0.0,0.0
2024,1,3,16,60,0.0,0.0,0.0,0.0,0.0,5,14.4,9.4,75,1024.5,91,14.8,-9900,-9900,0.0,0.0
2024,1,3,17,60,0.0,0.0,0.0,0.0,0.0,5,14.3,9.3,71,1024.2,84,14.8,-9900,-9900,0.0,0.0
2024,1,3,18,60,0.0,0.0,0.0,0.0,0.0,5,14.3,9.3,71,1023.7,87,13.0,-9900,-9900,0.0,0.0
2024,1,3,19,60,0.0,0.0,0.0,0.0,0.0,5,14.2,9.2,71,1023.3,91,13.0,-9900,-9900,0.0,0.0
2024,1,3,20,60,0.0,0.0,0.0,0.0,0.0,5,14.2,9.2,71,1022.9,91,13.0,-9900,-9900,0.0,0.0
2024,1,3,21,60,0.0,0.0,0.0,0.0,0.0,5,14.2,9.2,71,1022.6,92,14.8,-9900,-9900,0.0,0.0
