yr,mo,da,hr,mi,etr,etrn,ghi,dni,dhi,tcld,db,dp,rh,ps,wdir,wspd,hvis,ch,lpd,lpq
2021,1,1,1,60,0.0,0.0,0.0,0.0,0.0,5,12.0,7.0,66,1027.9,88,9.3,-9900,-9900,0.0,0.0
2021,1,1,2,60,0.0,0.0,0.0,0.0,0.0,5,12.5,7.5,67,1027.4,88,9.3,-9900,-9900,0.0,0.0
2021,1,1,3,60,0.0,0.0,0.0,0.0,0.0,5,13.1,8.1,67,1026.9,87,11.1,-9900,-9900,0.0,0.0
2021,1,1,4,60,0.0,0.0,0.0,0.0,0.0,5,13.6,8.6,68,1026.4,86,11.1,-9900,-9900,0.0,0.0
2021,1,1,5,60,0.0,0.0,0.0,0.0,0.0,5,14.2,9.2,66,1025.2,85,9.3,-9900,-9900,0.0,0.0
2021,1,1,6,60,0.0,0.0,0.0,0.0,0.0,5,14.2,9.2,67,1024.3,85,11.1,-9900,-9900,0.0,0.0
2021,1,1,7,60,0.0,0.0,0.0,0.0,0.0,5,14.2,9.2,68,1023.4,84,11.1,-9900,-9900,0.0,0.0
2021,1,1,8,60,0.0,0.0,0.0,0.0,0.0,5,14.1,9.1,68,1023.5,82,11.1,-9900,-9900,0.0,0.0
2021,1,1,9,60,0.0,0.0,0.0,0.0,0.0,5,13.9,8.9,69,1023.6,80,9.3,-9900,-9900,0.0,0.0
2021,1,1,10,60,0.0,0.0,0.0,0.0,0.0,5,13.8,8.8,70,1023.7,78,9.3,-9900,-9900,0.0,0.0
2021,1,1,11,60,0.0,0.0,0.0,0.0,0.0,5,14.3,9.3,62,1024.1,73,11.1,-9900,-9900,0.0,0.0
2021,1,1,12,60,0.0,0.0,0.0,0.0,0.0,5,13.9,8.9,64,1024.5,78,9.3,-9900,-9900,0.0,0.0
2021,1,1,13,60,0.0,0.0,0.0,0.0,0.0,5,13.4,8.4,67,1024.9,87,7.4,-9900,-9900,0.0,0.0
2021,1,1,14,60,0.0,0.0,0.0,0.0,0.0,5,13.3,8.3,68,1024.9,89,7.4,-9900,-9900,0.0,0.0
2021,1,1,15,60,0.0,0.0,0.0,0.0,0.0,5,13.1,8.1,70,1024.9,92,7.4,-9900,-9900,0.0,0.0
2021,1,1,16,60,0.0,0.0,0.0,0.0,0.0,5,12.9,7.9,71,1024.8,98,5.5,-9900,-9900,0.0,0.0
2021,1,1,17,60,0.0,0.0,0.0,0.0,0.0,5,13.0,8.0,76,1024.7,132,5.5,-9900,-9900,0.0,0.0
2021,1,1,18,60,0.0,0.0,0.0,0.0,0.0,5,12.9,7.9,76,1024.7,113,5.5,-9900,-9900,0.0,0.0
2021,1,1,19,60,0.0,0.0,0.0,0.0,0.0,5,12.7,7.7,77,1024.8,85,5.5,-9900,-9900,0.0,0.0
2021,1,1,20,60,0.0,0.0,0.0,0.0,0.0,5,12.4,7.4,78,1024.9,87,5.5,-9900,-9900,0.0,0.0
2021,1,1,21,60,0.0,0.0,0.0,0.0,0.0,5,12.1,7.1,80,1024.9,88,5.5,-9900,-9900,0.0,0.0
2021,1,1,22,60,0.0,0.0,0.0,0.0,0.0,5,12.0,7.0,80,1025.0,89,5.5,-9900,-9900,0.0,0.0
2021,1,1,23,60,0.0,0.0,0.0,0.0,0.0,5,13.9,8.9,77,1024.9,109,7.4,-9900,-9900,0.0,0.0
2021,1,1,24,60,0.0,0.0,0.0,0.0,0.0,5,14.1,9.1,76,1025.1,98,9.3,-9900,-9900,0.0,0.0
2021,1,2,1,60,0.0,0.0,0.0,0.0,0.0,5,14.3,9.3,75,1025.3,91,9.3,-9900,-9900,0.0,0.0
2021,1,2,2,60,0.0,0.0,0.0,0.0,0.0,5,14.8,9.8,75,1025.0,91,11.1,-9900,-9900,0.0,0.0
2021,1,2,3,60,0.0,0.0,0.0,0.0,0.0,5,15.4,10.4,74,1024.8,91,13.0,-9900,-9900,0.0,0.0
